"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"S8GXJ2MC","conferencePaper","2006","Kagal, Lalana; Berners-Lee, Tim; Connolly, Dan; Weitzner, Daniel","Promoting interoperability between heterogeneous policy domains","W3C Workshop on Languages for Privacy Policy Negotiation and Semantics-Driven Enforcement","","","","http://www.w3.org/2006/07/privacy-ws/papers/32-kagal-rein","","2006-10","2013-08-09 00:43:15","2013-08-09 04:10:35","","","","","","","","","","","","","NSF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","W3C Workshop on Languages for Privacy Policy Negotiation and Semantics-Driven Enforcement","","","","","","","","","","","","","","",""
"NARHX2PI","conferencePaper","2013","Connolly, Daniel W.; Adagarla, Bhargav; Nair, Mani; Sharma, P; Waitman, Lemuel R.","Integrating REDCap Patient Registries within an i2b2 Integrated Data Repository","AMIA Clinical Research Informatics Joint Summit","","","","","","2013-03","2013-08-09 03:15:09","2021-12-25 23:00:32","","","","","","","","","","","","","","","","","","","","","","","<p>Sigh... AMIA doesn't seem to curate their assets very well. <a href=""http://proceedings.amia.org/amia-55142-cri2013-1.133645/cri2013-1.134262/f-001-1.134263/a-001-1.134923?qr=1"">http://proceedings.amia.org/amia-55142-cri2013-1.133645/cri2013-1.134262/f-001-1.134263/a-001-1.134923?qr=1</a> has gone fallow.</p>","/home/connolly/Zotero/storage/SKM235NU/redcap-to-i2b2-heron.pdf; /home/connolly/Zotero/storage/8VVH47W4/a-001-1.html","","Poster","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AMIA Clinical Research Informatics Joint Summit","","","","","","","","","","","","","","",""
"KH2C7BAE","conferencePaper","2012","Connolly, Daniel W.; Adagarla, Bhargav; Keighley, John; Waitman, Lemuel R.","Integrating R efficiently to allow secure, interactive analysis within a clinical data warehouse","The 8th International useR Conference","","","","http://biostat.mc.vanderbilt.edu/wiki/pub/Main/UseR-2012/141-Connolly.pdf‎","","2012-06","2013-08-09 03:21:43","2013-08-09 04:09:24","","","","","","","","","","","","","","Nashville, TN","","All rights reserved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","The 8th International useR Conference","","","","","","","","","","","","","","",""
"ZBV4HU3R","report","2004","Jacobs, Ian; Connolly, Dan; Berners-Lee, Tim; Williams, Stuart","URIs, Addressability, and the use of HTTP GET and POST","","","","","http://www.w3.org/2001/tag/doc/whenToUseGet-20040321","An important principle of Web architecture is that all important resources be identifiable by URI. The finding discusses the relationship between the URI addressability of a resource and the choice between HTTP GET and POST methods with HTTP URIs. HTTP GET promotes URI addressability so, designers should adopt it for safe operations such as simple queries. POST is appropriate for other types of applications where a user request has the potential to change the state of the resource (or of related resources). The finding explains how to choose between HTTP GET and POST for an application taking into account architectural, security, and practical considerations. This finding does not discuss URI schemes other than ""http"" or protocols other than HTTP/1.1 [RFC2616].","2004-03-21","2013-08-09 04:02:14","2013-08-09 04:07:34","","","","","","","","","","","","W3C Technical Architecture Group Findings","W3C","","","","TAG Finding","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3DANSA2N","report","2007","Connolly, Dan; Hazaël-Massieux, Dominique","Gleaning resource descriptions from dialects of languages (GRDDL)","","","","","http://www.w3.org/TR/grddl/","GRDDL is a mechanism for Gleaning Resource Descriptions from Dialects of Languages. This GRDDL specification introduces markup based on existing standards for declaring that an XML document includes data compatible with the Resource Description Framework (RDF) and for linking to algorithms (typically represented in XSLT), for extracting this data from the document. The markup includes a namespace-qualified attribute for use in general-purpose XML documents and a profile-qualified link relationship for use in valid XHTML documents. The GRDDL mechanism also allows an XML namespace document (or XHTML profile document) to declare that every document associated with that namespace (or profile) includes gleanable data and for linking to an algorithm for gleaning the data. A corresponding GRDDL Use Case Working Draft provides motivating examples. A GRDDL Primer demonstrates the mechanism on XHTML documents which include widely-deployed dialects known as microformats. A GRDDL Test Cases document illustrates specific issues in this design and provides materials to aid in test-driven development of GRDDL-aware agents.","2007-09-11","2013-08-09 00:43:15","2013-08-09 04:00:23","","","","","","","","","","","","W3C Technical Reports","W3C","","","Copyright © 2006-2007 W3C® (MIT, ERCIM, Keio), All Rights Reserved. W3C liability, trademark and document use rules apply.","Recommendation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JHS8699N","presentation","2006","Dillon, Andrew; Connolly, Daniel; Guthrie, Kevin; Prochaska, Alice","The Implications of Digital Scholarship for Research Libraries. Challenges of Access and Preservation","","","","","http://www.lib.utexas.edu/symposium/","","2006-09","2013-08-09 03:44:51","2013-08-09 03:46:35","","","","","","","","","","","","","","Austin, TX","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","The Research Library in the 21st Century","","","","","","","","","","","","","","","",""
"VGV4EQDP","magazineArticle","1992","Connolly, Dan","Public-domain XcRichText Widget","The X Resource: A Practical Journal of the X Window System","","1058-5591","","","","1992","2013-08-09 02:40:29","2013-08-09 03:25:36","","211-216","","1","3","","","","","","","","","","","All rights reserved","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MSQA4HBR","videoRecording","2000","Miller, Eric; Weibel, Stuart; Connolly, Dan; Calhoun, Karen; Lau, Jesus; Caplan, Priscilla","Libraries and the Web shaping and defining the future : OCLC symposium at ALA Midwinter, Friday, January 14, 2000","","","","","","","2000","2013-08-09 02:46:53","2013-08-09 02:49:38","","","","","","","","","","","","","OCLC","Dublin, Ohio","English","","","/z-wcorg/","","http://worldcat.org","","","","","","","","","","","Miller, Eric; Weibel, Stuart; Connolly, Dan; Calhoun, Karen; Lau, Jesus","","","","","","","","","","","","","","","","","","","VHS Video","","","","","","","","","","","","","","","","","","","","","","",""
"797FISPX","blogPost","2006","Connolly, Dan","Talking with U.T. Austin students about the Microformats, Drug Discovery, the Tabulator, and the Semantic Web","Breadcrumbs","","","","http://dig.csail.mit.edu/breadcrumbs/node/161","","2006-09-16","2013-08-09 02:44:47","2013-08-09 02:45:26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UQWFPRX8","report","1993","Berners-Lee, Tim; Connolly, Dan","Hypertext Markup Language (HTML): A Representation of Textual Information and MetaInformation for Retrieval and Interchange","","","","","http://www.w3.org/MarkUp/draft-ietf-iiir-html-01","The World Wide Web (W3) initiative links related information    throughout the globe.  HTML provides one simple format for    providing linked information, and  all W3 compatible programs are    required to be capable of handling HTML.    W3 uses an Internet ⬚    protocol (Hypertext Transfer Protocol, HTTP), which allows transfer    representations to be negotiated between client and server, the    result being returned in an extended MIME message.  HTML is    therefore just one, but an important one, of the representations    used with W3.        HTML is proposed as a  MIME content type.        HTML refers to the URL specification of RFCxxxx.        Implementations of HTML parsers and generators can be found in the    various W3 servers and browsers, in the public domain W3 code, and    may also be built using various public domain SGML parsers such as    [SGMLS] .  HTML is an SGML document type with fairly generic    semantics appropriate for representing information from a wide    range of applications.  It is more generic than many specific SGML    applications, but is still completely device-independent.","1993-06","2013-08-09 02:38:44","2013-08-09 02:40:03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
